Time,Velocity_J1,Velocity_J2,Velocity_J3,Velocity_J4,Velocity_J5,Velocity_J6
32.35,0.033571677809646,0.033571677809646,0.033571677809646,0.033571677809646,0.033571677809646,0.033571677809646
32.4,0.0334664436997706,0.0334664436997706,0.0334664436997706,0.0334664436997706,0.0334664436997706,0.0334664436997706
32.45,0.0333607152233262,0.0333607152233262,0.0333607152233262,0.0333607152233262,0.0333607152233262,0.0333607152233262
32.5,0.0332544965542919,0.0332544965542919,0.0332544965542919,0.0332544965542919,0.0332544965542919,0.0332544965542919
32.55,0.033147791885999,0.033147791885999,0.033147791885999,0.033147791885999,0.033147791885999,0.033147791885999
32.6,0.033040605430965,0.033040605430965,0.033040605430965,0.033040605430965,0.033040605430965,0.033040605430965
32.65,0.0329329414207276,0.0329329414207276,0.0329329414207276,0.0329329414207276,0.0329329414207276,0.0329329414207276
32.7,0.0328248041056776,0.0328248041056776,0.0328248041056776,0.0328248041056776,0.0328248041056776,0.0328248041056776
32.75,0.0327161977548912,0.0327161977548912,0.0327161977548912,0.0327161977548912,0.0327161977548912,0.0327161977548912
32.8,0.0326071266559609,0.0326071266559609,0.0326071266559609,0.0326071266559609,0.0326071266559609,0.0326071266559609
32.85,0.0324975951148271,0.0324975951148271,0.0324975951148271,0.0324975951148271,0.0324975951148271,0.0324975951148271
32.9,0.0323876074556074,0.0323876074556074,0.0323876074556074,0.0323876074556074,0.0323876074556074,0.0323876074556074
32.95,0.0322771680204264,0.0322771680204264,0.0322771680204264,0.0322771680204264,0.0322771680204264,0.0322771680204264
33,0.0321662811692437,0.0321662811692437,0.0321662811692437,0.0321662811692437,0.0321662811692437,0.0321662811692437
33.05,0.0320549512796824,0.0320549512796824,0.0320549512796824,0.0320549512796824,0.0320549512796824,0.0320549512796824
33.1,0.031943182746856,0.031943182746856,0.031943182746856,0.031943182746856,0.031943182746856,0.031943182746856
33.15,0.0318309799831947,0.0318309799831947,0.0318309799831947,0.0318309799831947,0.0318309799831947,0.0318309799831947
33.2,0.0317183474182715,0.0317183474182715,0.0317183474182715,0.0317183474182715,0.0317183474182715,0.0317183474182715
33.25,0.0316052894986272,0.0316052894986272,0.0316052894986272,0.0316052894986272,0.0316052894986272,0.0316052894986272
33.3,0.0314918106875949,0.0314918106875949,0.0314918106875949,0.0314918106875949,0.0314918106875949,0.0314918106875949
33.35,0.0313779154651238,0.0313779154651238,0.0313779154651238,0.0313779154651238,0.0313779154651238,0.0313779154651238
33.4,0.0312636083276022,0.0312636083276022,0.0312636083276022,0.0312636083276022,0.0312636083276022,0.0312636083276022
33.45,0.0311488937876802,0.0311488937876802,0.0311488937876802,0.0311488937876802,0.0311488937876802,0.0311488937876802
33.5,0.0310337763740914,0.0310337763740914,0.0310337763740914,0.0310337763740914,0.0310337763740914,0.0310337763740914
33.55,0.0309182606314741,0.0309182606314741,0.0309182606314741,0.0309182606314741,0.0309182606314741,0.0309182606314741
33.6,0.0308023511201921,0.0308023511201921,0.0308023511201921,0.0308023511201921,0.0308023511201921,0.0308023511201921
33.65,0.0306860524161545,0.0306860524161545,0.0306860524161545,0.0306860524161545,0.0306860524161545,0.0306860524161545
33.7,0.0305693691106349,0.0305693691106349,0.0305693691106349,0.0305693691106349,0.0305693691106349,0.0305693691106349
33.75,0.0304523058100904,0.0304523058100904,0.0304523058100904,0.0304523058100904,0.0304523058100904,0.0304523058100904
33.8,0.0303348671359797,0.0303348671359797,0.0303348671359797,0.0303348671359797,0.0303348671359797,0.0303348671359797
33.85,0.0302170577245806,0.0302170577245806,0.0302170577245806,0.0302170577245806,0.0302170577245806,0.0302170577245806
33.9,0.0300988822268069,0.0300988822268069,0.0300988822268069,0.0300988822268069,0.0300988822268069,0.0300988822268069
33.95,0.0299803453080249,0.0299803453080249,0.0299803453080249,0.0299803453080249,0.0299803453080249,0.0299803453080249
