Time,Acceleration_J1,Acceleration_J2,Acceleration_J3,Acceleration_J4,Acceleration_J5,Acceleration_J6
4.6,0.00143805227953239,0.00143805227953239,0.00143805227953239,0.00143805227953239,0.00143805227953239,0.00143805227953239
4.65,0.00145187373642,0.00145187373642,0.00145187373642,0.00145187373642,0.00145187373642,0.00145187373642
4.7,0.00146563787581849,0.00146563787581849,0.00146563787581849,0.00146563787581849,0.00146563787581849,0.00146563787581849
4.75,0.00147934415434322,0.00147934415434322,0.00147934415434322,0.00147934415434322,0.00147934415434322,0.00147934415434322
4.8,0.00149299203089378,0.00149299203089378,0.00149299203089378,0.00149299203089378,0.00149299203089378,0.00149299203089378
4.85,0.00150658096667538,0.00150658096667538,0.00150658096667538,0.00150658096667538,0.00150658096667538,0.00150658096667538
4.9,0.00152011042522008,0.00152011042522008,0.00152011042522008,0.00152011042522008,0.00152011042522008,0.00152011042522008
4.95,0.00153357987240805,0.00153357987240805,0.00153357987240805,0.00153357987240805,0.00153357987240805,0.00153357987240805
5,0.00154698877648856,0.00154698877648856,0.00154698877648856,0.00154698877648856,0.00154698877648856,0.00154698877648856
5.05,0.00156033660810105,0.00156033660810105,0.00156033660810105,0.00156033660810105,0.00156033660810105,0.00156033660810105
5.1,0.00157362284029597,0.00157362284029597,0.00157362284029597,0.00157362284029597,0.00157362284029597,0.00157362284029597
5.15,0.00158684694855563,0.00158684694855563,0.00158684694855563,0.00158684694855563,0.00158684694855563,0.00158684694855563
5.2,0.00160000841081488,0.00160000841081488,0.00160000841081488,0.00160000841081488,0.00160000841081488,0.00160000841081488
5.25,0.00161310670748173,0.00161310670748173,0.00161310670748173,0.00161310670748173,0.00161310670748173,0.00161310670748173
5.3,0.00162614132145784,0.00162614132145784,0.00162614132145784,0.00162614132145784,0.00162614132145784,0.00162614132145784
5.35,0.00163911173815898,0.00163911173815898,0.00163911173815898,0.00163911173815898,0.00163911173815898,0.00163911173815898
5.4,0.00165201744553531,0.00165201744553531,0.00165201744553531,0.00165201744553531,0.00165201744553531,0.00165201744553531
5.45,0.0016648579340916,0.0016648579340916,0.0016648579340916,0.0016648579340916,0.0016648579340916,0.0016648579340916
5.5,0.00167763269690734,0.00167763269690734,0.00167763269690734,0.00167763269690734,0.00167763269690734,0.00167763269690734
5.55,0.00169034122965678,0.00169034122965678,0.00169034122965678,0.00169034122965678,0.00169034122965678,0.00169034122965678
5.6,0.00170298303062879,0.00170298303062879,0.00170298303062879,0.00170298303062879,0.00170298303062879,0.00170298303062879
5.65,0.00171555760074673,0.00171555760074673,0.00171555760074673,0.00171555760074673,0.00171555760074673,0.00171555760074673
5.7,0.0017280644435881,0.0017280644435881,0.0017280644435881,0.0017280644435881,0.0017280644435881,0.0017280644435881
5.75,0.00174050306540416,0.00174050306540416,0.00174050306540416,0.00174050306540416,0.00174050306540416,0.00174050306540416
5.8,0.00175287297513941,0.00175287297513941,0.00175287297513941,0.00175287297513941,0.00175287297513941,0.00175287297513941
5.85,0.001765173684451,0.001765173684451,0.001765173684451,0.001765173684451,0.001765173684451,0.001765173684451
5.9,0.00177740470772799,0.00177740470772799,0.00177740470772799,0.00177740470772799,0.00177740470772799,0.00177740470772799
5.95,0.00178956556211053,0.00178956556211053,0.00178956556211053,0.00178956556211053,0.00178956556211053,0.00178956556211053
6,0.0018016557675089,0.0018016557675089,0.0018016557675089,0.0018016557675089,0.0018016557675089,0.0018016557675089
6.05,0.0018136748466225,0.0018136748466225,0.0018136748466225,0.0018136748466225,0.0018136748466225,0.0018136748466225
6.1,0.00182562232495866,0.00182562232495866,0.00182562232495866,0.00182562232495866,0.00182562232495866,0.00182562232495866
6.15,0.0018374977308514,0.0018374977308514,0.0018374977308514,0.0018374977308514,0.0018374977308514,0.0018374977308514
6.2,0.00184930059548003,0.00184930059548003,0.00184930059548003,0.00184930059548003,0.00184930059548003,0.00184930059548003
6.25,0.00186103045288765,0.00186103045288765,0.00186103045288765,0.00186103045288765,0.00186103045288765,0.00186103045288765
6.3,0.00187268683999959,0.00187268683999959,0.00187268683999959,0.00187268683999959,0.00187268683999959,0.00187268683999959
6.35,0.00188426929664164,0.00188426929664164,0.00188426929664164,0.00188426929664164,0.00188426929664164,0.00188426929664164
6.4,0.00189577736555824,0.00189577736555824,0.00189577736555824,0.00189577736555824,0.00189577736555824,0.00189577736555824
6.45,0.00190721059243055,0.00190721059243055,0.00190721059243055,0.00190721059243055,0.00190721059243055,0.00190721059243055
6.5,0.00191856852589433,0.00191856852589433,0.00191856852589433,0.00191856852589433,0.00191856852589433,0.00191856852589433
6.55,0.00192985071755782,0.00192985071755782,0.00192985071755782,0.00192985071755782,0.00192985071755782,0.00192985071755782
6.6,0.00194105672201942,0.00194105672201942,0.00194105672201942,0.00194105672201942,0.00194105672201942,0.00194105672201942
6.65,0.00195218609688526,0.00195218609688526,0.00195218609688526,0.00195218609688526,0.00195218609688526,0.00195218609688526
6.7,0.00196323840278667,0.00196323840278667,0.00196323840278667,0.00196323840278667,0.00196323840278667,0.00196323840278667
6.75,0.00197421320339754,0.00197421320339754,0.00197421320339754,0.00197421320339754,0.00197421320339754,0.00197421320339754
6.8,0.00198511006545153,0.00198511006545153,0.00198511006545153,0.00198511006545153,0.00198511006545153,0.00198511006545153
6.85,0.00199592855875919,0.00199592855875919,0.00199592855875919,0.00199592855875919,0.00199592855875919,0.00199592855875919
6.9,0.00200666825622493,0.00200666825622493,0.00200666825622493,0.00200666825622493,0.00200666825622493,0.00200666825622493
6.95,0.00201732873386388,0.00201732873386388,0.00201732873386388,0.00201732873386388,0.00201732873386388,0.00201732873386388
7,0.00202790957081864,0.00202790957081864,0.00202790957081864,0.00202790957081864,0.00202790957081864,0.00202790957081864
7.05,0.00203841034937588,0.00203841034937588,0.00203841034937588,0.00203841034937588,0.00203841034937588,0.00203841034937588
7.1,0.00204883065498284,0.00204883065498284,0.00204883065498284,0.00204883065498284,0.00204883065498284,0.00204883065498284
7.15,0.0020591700762637,0.0020591700762637,0.0020591700762637,0.0020591700762637,0.0020591700762637,0.0020591700762637
7.2,0.00206942820503582,0.00206942820503582,0.00206942820503582,0.00206942820503582,0.00206942820503582,0.00206942820503582
7.25,0.00207960463632583,0.00207960463632583,0.00207960463632583,0.00207960463632583,0.00207960463632583,0.00207960463632583
7.3,0.00208969896838565,0.00208969896838565,0.00208969896838565,0.00208969896838565,0.00208969896838565,0.00208969896838565
7.35,0.00209971080270834,0.00209971080270834,0.00209971080270834,0.00209971080270834,0.00209971080270834,0.00209971080270834
7.4,0.00210963974404382,0.00210963974404382,0.00210963974404382,0.00210963974404382,0.00210963974404382,0.00210963974404382
7.45,0.00211948540041448,0.00211948540041448,0.00211948540041448,0.00211948540041448,0.00211948540041448,0.00211948540041448
7.5,0.00212924738313068,0.00212924738313068,0.00212924738313068,0.00212924738313068,0.00212924738313068,0.00212924738313068
7.55,0.00213892530680605,0.00213892530680605,0.00213892530680605,0.00213892530680605,0.00213892530680605,0.00213892530680605
7.6,0.00214851878937273,0.00214851878937273,0.00214851878937273,0.00214851878937273,0.00214851878937273,0.00214851878937273
7.65,0.00215802745209646,0.00215802745209646,0.00215802745209646,0.00215802745209646,0.00215802745209646,0.00215802745209646
7.7,0.00216745091959151,0.00216745091959151,0.00216745091959151,0.00216745091959151,0.00216745091959151,0.00216745091959151
7.75,0.00217678881983553,0.00217678881983553,0.00217678881983553,0.00217678881983553,0.00217678881983553,0.00217678881983553
7.8,0.0021860407841842,0.0021860407841842,0.0021860407841842,0.0021860407841842,0.0021860407841842,0.0021860407841842
7.85,0.00219520644738582,0.00219520644738582,0.00219520644738582,0.00219520644738582,0.00219520644738582,0.00219520644738582
7.9,0.00220428544759569,0.00220428544759569,0.00220428544759569,0.00220428544759569,0.00220428544759569,0.00220428544759569
7.95,0.00221327742639042,0.00221327742639042,0.00221327742639042,0.00221327742639042,0.00221327742639042,0.00221327742639042
8,0.0022221820287821,0.0022221820287821,0.0022221820287821,0.0022221820287821,0.0022221820287821,0.0022221820287821
8.05,0.00223099890323227,0.00223099890323227,0.00223099890323227,0.00223099890323227,0.00223099890323227,0.00223099890323227
8.1,0.00223972770166583,0.00223972770166583,0.00223972770166583,0.00223972770166583,0.00223972770166583,0.00223972770166583
8.15,0.00224836807948475,0.00224836807948475,0.00224836807948475,0.00224836807948475,0.00224836807948475,0.00224836807948475
