Time,Force_J1,Force_J2,Force_J3,Force_J4,Force_J5,Force_J6
14.95,188.863760397745,-0.505192998476314,2.16587188950229,0.039722002491476,0.00354846385058284,3.44244978143709E-09
15,188.837390807713,-0.542174243311721,2.17650927048968,0.0400737957826591,0.003642795714326,3.42515012401259E-09
15.05,188.810181423991,-0.579901223061966,2.18702884622978,0.0404273028622946,0.0037391491256879,3.40771078006363E-09
15.1,188.782122682991,-0.618381439517195,2.19742789731364,0.0407825211361261,0.00383755599446734,3.39013659419864E-09
15.15,188.753205015539,-0.657622394680604,2.2077036921212,0.0411394478908406,0.0039380484751197,3.37243251131978E-09
15.2,188.723418848124,-0.697631589722546,2.21785348712054,0.0414980802918939,0.0040406589629139,3.35460357599371E-09
15.25,188.692754604166,-0.738416523925166,2.22787452717253,0.0418584153812982,0.00414542008994128,3.33665493174011E-09
15.3,188.661202705283,-0.779984693617762,2.23776404584108,0.0422204500753713,0.00425236472097574,3.31859182023657E-09
15.35,188.628753572581,-0.822343591102892,2.24751926570879,0.0425841811624477,0.00436152594918382,3.30041958043849E-09
15.4,188.595397627949,-0.865500703573463,2.25713739869824,0.0429496053005524,0.00447293709168422,3.28214364761256E-09
15.45,188.561125295361,-0.909463512020875,2.26661564639859,0.0433167190150361,0.00458663168495564,3.26376955228264E-09
15.5,188.525927002197,-0.954239490134391,2.27595120039778,0.0436855186961738,0.00470264348009282,3.24530291908668E-09
15.55,188.489793180564,-0.999836103191862,2.28514124262014,0.0440560005967255,0.0048210064379094,3.2267494655435E-09
15.6,188.452714268638,-1.04626080694199,2.29418294566936,0.0444281608294612,0.00494175472388759,3.20811500072834E-09
